IdGSA;NombreGSA;Descripcion;FaoArea;FaoSubarea;FaoDivision;Geometry
20;GSA20;Eastern Ionian;37;37.2;37.2.2;POLYGON ((22.998369618108143 36.095153880239479, 23.000038942554625 36.095753124912562, 23.000037297343567 36.095740424872417, 23.000000182537406 36.095362807294691, 22.999999279821964 36.095360657766662, 23.000000000000057 36.095361000000082, 23.000000000000057 35.000000000000114, 19.166666030883846 35.000000000000114, 19.166666030883846 39.882148742675838, 19.589726764163174 39.768465995252086, 19.589556000000016 39.768305999999995, 19.589499999999987 39.766666999999927, 19.590417000000002 39.765806000000111, 19.59036100000003 39.764944000000014, 19.591278000000045 39.764167000000043, 19.591222000000016 39.763306000000057, 19.591667000000086 39.762917000000016, 19.593305999999984 39.762917000000016, 19.595416999999998 39.765028000000029, 19.595443999999929 39.766611000000125, 19.595682369202166 39.76686563509071, 19.63834905190447 39.755400459215195, 19.638349572916354 39.755400382469645, 19.646535453522404 39.751980464430744, 19.726852513656809 39.6918431328279, 19.774441733773415 39.6371155296938, 19.844635833445409 39.582387926559704, 19.876758557024118 39.499106791355644, 19.88644077382736 39.471743633756489, 19.9557175413741 39.4405923355979, 20.038942651379955 39.397817418723378, 20.084972181494891 39.379219628777832, 20.084972181494891 39.415950263920138, 20.069597641724727 39.420181788627644, 20.0556602749611 39.424017761131381, 20.025474869888512 39.428912691683649, 19.992162415806888 39.438430535706971, 19.941004004181536 39.461035415262359, 19.91658953914822 39.481859517790781, 19.898714584253867 39.553817669544742, 19.874498892522183 39.589649018286025, 19.847431693652027 39.6328324755238, 19.831267866962492 39.658620512253833, 19.829008411181974 39.674210757139292, 19.825259542698404 39.700077949675858, 19.838017108363829 39.707855998689979, 19.841221999999959 39.699999999999989, 19.841237057766534 39.700881417121877, 20.186104660456294 39.608210333546424, 20.188530989496371 39.607527607836346, 20.220149970874616 39.5986323627676, 20.20175419146301 39.556224930450924, 20.271710345034478 39.536237458001892, 20.315968319742865 39.366343942185722, 20.343094175209387 39.3263689972876, 20.494427895180138 39.322085967477165, 20.723807936142236 39.0974648485269, 21.206838520325789 39.099844309532727, 21.21159744233745 38.7833759957573, 21.040276249917667 38.785755456763127, 21.052173554946819 38.676300250494933, 21.323432109611474 38.49784067505766, 21.597070125281959 38.512117441092641, 22.513162612526628 38.509737980086811, 23.085904542013225 38.292767017116319, 23.291535295983749 38.221587140741747, 23.246718336785023 38.021228970206494, 23.138630376364745 37.994866053030819, 22.835753370248028 37.874170704728613, 22.737127892563763 37.876518930387704, 22.362777346463133 38.033809075808165, 22.035044192340251 38.20406006496296, 21.788359448766812 38.180046505853909, 21.559139111818297 38.033782100372434, 21.497986157711466 38.002952925161708, 21.415313772553702 37.9612751111564, 21.294989961620217 37.90061599985944, 21.294989961620217 37.835124475016869, 21.406325553852469 37.749985492721692, 21.425569217088025 37.744713256218859, 21.741042661752431 37.474016687571407, 21.753366091577846 37.27376095290839, 21.691072091473814 37.158072095572152, 21.69802921998496 37.133393979343566, 21.773791891024189 36.8646509198083, 21.854098699970962 36.8646509198083, 21.863212417646935 37.0094577673251, 21.970639344412916 37.090027962399745, 22.125089270217643 37.069816741639954, 22.216505922877161 37.057854015608314, 22.217555832742505 37.05592218145631, 22.252063553196081 37.05560266552618, 22.342830337930195 36.950820421384549, 22.376985256002172 36.793267089633389, 22.414461766844 36.720098663704107, 22.4929839800364 36.718314067949734, 22.618466168645114 36.863609233707166, 22.817192537540791 36.86026929473411, 23.000000000000057 36.523722000000078, 23.000000000000057 36.31619400000011, 23.000389000000041 36.315833000000111, 23.000416094802915 36.3109685152221, 23.000415685598682 36.31096864587812, 23.000416118656176 36.310964232691845, 23.000416968749676 36.3108116105401, 23.000416680423371 36.310806524075531, 23.000416523491651 36.31080375558912, 22.999511721719841 36.306542033263838, 22.985603648597476 36.315624862662844, 22.985632601984719 36.315719995220491, 22.952348966850309 36.362405984853638, 22.945613349289545 36.375203658219277, 22.902936673903241 36.327233751777214, 22.93247161289446 36.296643993536463, 22.920503012647941 36.195056849980574, 22.959896913386046 36.165846406576009, 22.981585214802863 36.152537676161216, 23.000000000000057 36.146139000000062, 23.000000000000057 36.102874120786055, 23.000000563096819 36.102873313102521, 23.000000000000057 36.102872294853739, 23.000000208865515 36.102856176373336, 23.000005373911677 36.101953316944844, 22.995522034342002 36.103568169112066, 22.993552277150513 36.102026620005745, 22.993616508363402 36.100634943729119, 22.995778959193217 36.09920044664392, 22.996635375363326 36.096952354197128, 22.997170635469786 36.095367984282063, 22.998369618108143 36.095153880239479))
30;GSA21;Southern Ionian Sea (Libya);37;37.2;37.2.2;POLYGON ((22.705163460240726 32.114820988500242, 21.474397651163258 32.35704039829875, 20.660621987169293 31.571818266374748, 20.689175519239257 30.943640560835547, 20.660621987169293 30.229802259086455, 19.425193805798813 29.794594604285521, 19.40040379514511 29.803041519684655, 12.36582092084484 32.19999597191395, 12.366745151367354 32.212704141598351, 11.255647652501295 33.057318215296561, 11.417204752343025 33.114842135279332, 11.562325718120519 33.166712756295851, 15.30000019073492 35.000000000000114, 23.000000000000057 35.000000000000114, 23.000000000000057 34, 25.139999389648438 34, 25.14739624780924 31.672821339469692, 25.144809177135812 31.672019711936969, 25.143388110146248 31.671509585325452, 25.141748417465919 31.671218084404416, 25.141056102778748 31.671801086246262, 25.134023643060914 31.670161393565991, 25.092203023912077 31.633794988612578, 25.084262234185815 31.376286521778752, 24.847983696318806 31.445189664725945, 22.705163460240726 32.114820988500242))
21;GSA22;Aegean Sea;37;37.3;37.3.1;POLYGON ((23.000000000000057 36.000000000000114, 23.000000000000057 36.095361000000082, 23.000039629640071 36.0957533715586, 23.000650302316558 36.095372305370404, 23.000759776841846 36.094277560117405, 23.001613678139222 36.095087671604631, 23.001657467949428 36.096160521952754, 23.000869251367078 36.097080107965382, 23.000781671746893 36.098634646224923, 23.000015350069702 36.099816971098335, 23.0000236701336 36.101629283226771, 23.000000419724017 36.1028193179294, 23.000000155425937 36.102860827282882, 23.000000000000057 36.102860999999962, 23.000000000000057 36.146139000000062, 23.000389000000041 36.145832999999925, 23.023764279875195 36.14414395192199, 23.034271979676987 36.136320284134968, 23.041960710393653 36.13773714500644, 23.047671416807702 36.147730881230984, 23.034822327376162 36.184136634620131, 23.056594395579566 36.23481915404426, 23.091690589494362 36.230919576942711, 23.097640097930139 36.243385213665363, 23.066588131804053 36.259803494605478, 23.052668284919889 36.275507937244072, 23.01947480388867 36.296923086296545, 23.001271927194011 36.305489145917477, 22.999511721719841 36.306542033263838, 23.000416094802915 36.3109685152221, 23.000389000000041 36.315833000000111, 23.000000000000057 36.31619400000011, 23.000000000000057 36.523722000000078, 22.885501142427586 36.734513617846574, 22.84765945290485 36.804179910817652, 22.847338489688127 36.80477080191622, 22.817192537540791 36.86026929473411, 22.959813423633477 36.913333639580173, 22.600630812966756 37.5725651384256, 22.874268828637241 37.691538188717118, 23.033692716027872 37.532114301326487, 23.140768461290236 37.591600826472245, 23.002759722952078 37.796234472973651, 22.959849349909518 37.874903490218685, 22.935709196165817 37.914002725583089, 22.958325926980024 37.923015407787375, 23.138630376364745 37.994866053030819, 23.246718336785023 38.021228970206494, 23.43855827385363 38.059749173312127, 23.440580548024855 38.060354644620816, 23.671388265590394 38.060354644620816, 23.921231671202577 37.800993394985312, 23.987856579365825 37.831926388061106, 23.861745146056819 38.238814220058089, 23.152665766319387 38.531487923775217, 22.803369360380202 38.718761298043887, 22.503669996655844 38.824021562376572, 22.497828695068165 38.865745145144729, 22.747724690796815 39.211884868957895, 22.733062409088234 39.307922814149322, 22.6697456176895 39.722647797811362, 22.510211294745204 39.883021775086831, 22.391325180106151 40.325933165586036, 22.509654262601771 40.718785719471555, 24.1560188775656 41.1220389308715, 25.5241112962629 41.128343504229463, 25.886202169411888 40.949108522020879, 25.926998165075304 40.912845414764263, 26.139638909322798 40.840170730021612, 26.215841216119316 40.670832270473738, 26.863054609705159 40.701765263549532, 26.893987602780953 40.585171674263847, 26.694112878291207 40.482854851013144, 26.296742890317546 40.204457913331, 26.324205222573994 40.108789222573876, 26.348738731172148 40.073346590033054, 26.380135461617726 40.002353640192837, 26.272869404760058 39.8640596923309, 26.276438596268804 39.603508712192479, 26.858514853293173 39.663813909992371, 27.090475531765151 39.520136773326954, 27.175874856472831 38.868255261390914, 27.240120303630249 38.133001810589349, 27.401756467660618 37.660356176432515, 27.405915367207683 37.648195001205465, 27.765814001552656 37.201262056593976, 28.02993417319982 37.163190680500691, 28.34910563908096 37.13340134368525, 28.386729235628366 37.109669536632225, 28.38615931461436 37.016853828642127, 28.143454292019669 36.853860749742751, 28.204130547668342 36.79258962884262, 28.261832477059727 36.884793742818545, 28.390323371374564 36.912157544385593, 28.490260733619436 36.921675388408914, 28.515245074180655 36.901449969859357, 28.626484876203222 36.847912097228175, 28.810298238903613 36.705144436878356, 28.837067175219204 36.705144436878356, 28.9114253316514 36.806271529626144, 29.001267091743614 36.806029603592435, 29.000288140108808 36.734109045053174, 29.000075856274748 36.71623693153839, 29.000000000000057 36.708777999999995, 29.000000000000057 34, 26.500000000000057 34, 26.500000000000057 36.000000000000114, 26.436250000000086 36.000000000000114, 26.435806000000071 36.002028000000053, 26.433333000000118 36.002082999999971, 26.432944000000077 36.000000000000114, 23.000000000000057 36.000000000000114))
22;GSA23;Crete Island;37;37.3;37.3.1;POLYGON ((26.500000000000057 36.000000000000114, 26.500000000000057 34, 23.000000000000057 34, 23.000000000000057 36.000000000000114, 26.432944000000077 36.000000000000114, 26.433360999999934 35.999611000000073, 26.435833000000002 35.999555999999984, 26.436250000000086 36.000000000000114, 26.500000000000057 36.000000000000114))
23;GSA24;North Levant (South of Turkey);37;37.3;37.3.2;POLYGON ((36.03801527484228 36.126726907744285, 36.050801006585857 36.097848789495572, 36.050801006585857 35.882745514568455, 35.917147255304371 35.928575945772138, 35.8932625924636 35.925163851080526, 35.000000000000114 35.783332824707145, 32 35.783332824707145, 32 34, 29.000000000000057 34, 29.000000000000057 36.708777999999995, 29.000167409440508 36.725239335059371, 29.001267091743614 36.806029603592435, 29.1725782630362 36.7413120499931, 29.215741304216351 36.68317407615848, 29.217798043274172 36.415797998636265, 29.759633945534063 36.250794472845257, 29.787577478248977 36.297484932571479, 30.120744153992405 36.454340776260892, 30.4289436952418 36.477663984787853, 30.461273590815608 36.895797300873994, 30.827902918660186 37.093870348756184, 31.762060489677424 36.960419267182374, 32.7233627360327 36.227545277386639, 33.399129661688505 36.341759405666494, 34.817288421163369 37.0175263313223, 35.281958710162257 36.710129063215447, 35.843791645131489 37.024224641032788, 36.230376283115504 37.0310068276641, 36.35152151971306 36.866373557416296, 36.304785753546128 36.572605884366794, 36.254482868684875 36.54518745859167, 36.016003278091944 36.394873049975558, 36.03801527484228 36.126726907744285))
24;GSA25;Cyprus Island;37;37.3;37.3.2;POLYGON ((35.000000000000114 35.783332824707145, 35.000000000000114 34, 32 34, 32 35.783332824707145, 35.000000000000114 35.783332824707145))
25;GSA26;South Levant (Egypt);37;37.3;37.3.2;POLYGON ((28.367588298989688 30.494546835990718, 25.597411395587415 31.155216641404593, 25.5566564157794 31.17301731706516, 25.084672144294871 31.379167313287951, 25.091834514283221 31.633431447868759, 25.134023643060914 31.670161393565991, 25.141056102778748 31.671801086246262, 25.141748417465919 31.671218084404416, 25.143388110146248 31.671509585325452, 25.144809177135812 31.672019711936969, 25.14739624780924 31.672821339469692, 25.139999389648438 34, 34.216666666666754 34, 34.218726012578145 31.323706341953709, 34.680003569000178 31.279455591251633, 34.386939120765248 30.865950437667038, 34.003974002853511 30.580467349769151, 28.367588298989688 30.494546835990718))
26;GSA27;Levant;37;37.3;37.3.2;POLYGON ((36.05056936529553 35.829318086493515, 36.135992015404895 34.468861256410037, 35.265109287271 31.956150434253232, 34.840955269986466 31.459122606306153, 34.680003569000178 31.279455591251633, 34.218726012578145 31.324271382101017, 34.216666666666754 34, 35.000000000000114 34.000565040147251, 35.000000000000114 35.783897864854453, 35.8932625924636 35.925728891227834, 35.917147255304371 35.929140985919446, 35.954370106484532 35.916112988006432, 36.050801006585857 35.883310554715706, 36.05056936529553 35.829318086493515))
27;GSA28;Marmara Sea;37;37.4;37.4.1;POLYGON ((29.04053081367249 40.51896103289198, 29.185855534811537 40.4672166246076, 29.183245719916329 40.368043658586942, 29.132001609320753 40.303462039754265, 28.202931976203843 40.327672323353511, 27.860142673556254 40.205099178770354, 27.606730076435326 40.205099178770354, 27.231964968017053 40.337159264593936, 26.925014498264943 40.322882498558954, 26.771539263388888 40.2479294768753, 26.380135461617726 40.002353640192837, 26.349978210078007 40.070543933114948, 26.348745570984647 40.073331124140282, 26.348751226248964 40.07335869156401, 26.348738731172148 40.073346590033054, 26.324205222573994 40.108789222573876, 26.323773841076729 40.110291997454226, 26.296742890317546 40.204457913331, 26.350571403001936 40.242170104852448, 26.445129542704535 40.308417424284755, 26.696321627376904 40.483985520187957, 26.715496531064673 40.493801244694794, 26.812558216609773 40.543487583723845, 26.879368690186368 40.577688183292764, 26.895099194528143 40.5852684701523, 27.092641145678442 40.686461569599942, 27.396736262225488 40.993412039353814, 27.97637296324956 41.110481520841631, 28.468833662532063 41.1021279297168, 28.47177674466667 41.10334313782397, 28.539373354082329 41.104295202745448, 28.59150421846067 41.080287567834262, 28.654519349915631 40.996267392561037, 28.928633257788931 41.020537894820563, 28.93445238630062 41.0379952803554, 28.982271580959377 41.059673315267446, 29.014293853999334 41.06336819292585, 29.033194356794013 41.153405668466689, 29.036222000000009 41.151251018511573, 29.069999761031625 41.142084200059855, 29.069982993774317 41.142066288634794, 29.070037915716 41.142084413259454, 29.0802076789754 41.142141239559578, 29.113281284222126 41.142326047265385, 29.092946919926419 41.108380123234951, 29.066953243833609 41.063853918816676, 29.066531248540002 41.06046284940544, 29.060477191617736 41.011813664081672, 29.234177845043348 40.901168727310562, 29.312726162657441 40.866470198655918, 29.44047550412597 40.810037237133315, 29.944161681645028 40.792985361331944, 29.97849405718523 40.769381853148104, 29.97849405718523 40.69570121431417, 29.53354289869236 40.630586410632191, 29.042081166141088 40.58872689397964, 29.04053081367249 40.51896103289198))
29;GSA29;Black Sea;37;37.4;37.4.2;POLYGON ((27.859877897816261 41.57894345131632, 27.699264279922716 42.072681610026109, 27.22932073127123 42.191654660317624, 27.217423426242078 42.572368421250474, 27.657623712320685 43.173182325222626, 28.228694353719959 43.666920483932415, 28.294129531380293 44.481885878429296, 29.293503153829022 45.511002763450904, 29.965700887976084 46.593657521103694, 30.578412096977388 46.730476528938937, 31.815731820009148 47.117138942386362, 32.541467426787392 46.920833409405361, 32.492854127729458 46.137619146805491, 33.636019489469334 46.433043903210148, 33.927503462683546 45.838178651752571, 33.2017678559053 45.582386593625813, 33.665762752042212 45.36228645058651, 33.713351972158819 44.803113114216387, 34.367353859592924 44.792299285003708, 35.5428075964731 45.1920487339832, 35.997284648586685 45.111147059784969, 36.325022864139441 45.066707979710145, 36.331639167893229 45.334668281740051, 36.478399428577461 45.382434593000539, 36.532396246190558 45.399899978862891, 36.622185226336171 45.399833279816107, 36.755440834431681 45.40502453574328, 36.7576974554641 45.402825066641981, 36.783403288886177 45.42521191904018, 37.052153637159222 45.325588945111406, 37.044842527004107 45.216453848332151, 36.677425971183879 45.193910941684976, 36.675998294580495 45.161074379804575, 36.915847963968133 45.148225290373205, 37.281333174463782 45.022589749265194, 37.95947956112542 44.818431994965181, 39.786905613603096 43.933272500796306, 41.657161964185548 42.791131217997759, 41.98552758299013 41.706096999339138, 40.736310554929389 40.749553674995354, 37.067181683939054 40.742415291977863, 34.889974863604323 41.556190955971829, 34.684226874832007 41.722891881181738, 32.805567022496973 41.684681850286665, 31.099493481316642 40.849491037240227, 29.364866408066348 41.035088995694991, 29.304396874303677 41.192676265501404, 29.178121596631 41.194079324142194, 29.113281284222126 41.142326047265385, 29.069999761031625 41.142084200059855, 29.036222000000009 41.151251018511573, 29.011180083310762 41.169072327363494, 28.859504369888498 41.188119975095447, 28.72537204243315 41.204964499938683, 27.859877897816261 41.57894345131632))
28;GSA30;Azov Sea;37;37.4;37.4.3;POLYGON ((38.264761213931024 46.026635393130618, 38.131511397604527 45.845796356687515, 37.622094940603631 45.507511990710384, 37.615997771461252 45.335049206400583, 37.102717061741487 45.212658796873995, 37.044842527004107 45.216453848332151, 37.052964505821592 45.325288364486482, 36.783403288886177 45.42521191904018, 36.757695227663589 45.402823126481621, 36.755440834431681 45.40502453574328, 36.622185226336171 45.399833279816107, 36.1245919355012 45.400202913128282, 35.950891282075588 45.30264501188924, 35.843815536813224 45.362131537035, 35.777190628649976 45.3074039339009, 35.232294058314835 45.14560058550444, 34.9705533476735 45.257435252778464, 34.425656777338361 45.80446867240903, 34.425656777338361 45.982110135975745, 34.561286054670688 46.235393726174721, 34.841743597681671 46.311552455526851, 35.060918660096263 46.520708086516834, 35.240947221354816 46.581994405243222, 35.355314926735389 46.469215140215056, 35.990631015292081 46.749991538903032, 37.268401575422956 47.009352788538536, 37.577731506180896 47.190191824981639, 39.368831120636287 47.373410322430573, 39.421179262764554 46.940348419369457, 38.602567435120761 46.848636720836907, 38.635957130840552 46.635777410623177, 37.9411545171381 46.545357892401626, 37.9411545171381 46.493009750273359, 38.635957130840552 46.1741619754921, 38.639392917398368 46.019551580396865, 38.540135821193985 45.977834829818335, 38.264761213931024 46.026635393130618))
11;GSA111;Sardinia West;37;37.1;37.1.3;POLYGON ((6.0000000026936773 41.784546379525338, 6.2804255422924049 41.72081375380435, 7.0605320922287929 41.543518069955162, 8.000000001993838 41.330001832728485, 8.0000000020126674 41.299999235420231, 8.0000000000001439 40.530002594000067, 8.0000000000001439 39.730003357000129, 8.0000000000001439 38.930000305000142, 8.0000000026583731 37.999999997887443, 6.0000000034242928 37.99999999366193, 6.0000000034242928 40.500000005600064, 6.0000000034242928 41.299999235420231, 6.0000000026936773 41.784546379525338))
12;GSA112;Sardinia Est;37;37.1;37.1.3;POLYGON ((11.000000002300681 41.29999923542033, 11.000000002300681 38.500000001049614, 8.4999999903624257 38.500000001049614, 8.4999999903624257 37.999999998415717, 8.00000000265851 37.999999997887471, 8.00000000000017 38.930000305000135, 8.00000000000017 39.730003357000157, 8.00000000000017 40.530002594000052, 8.0000000020125981 41.29999923542033, 9.337861764579884 41.29999923542033, 9.33827800000006 41.299582999999984, 9.3416109999999435 41.299556000000052, 9.342083000000116 41.299167000000011, 9.3407779999999434 41.297916999999984, 9.33752800000002 41.297861000000125, 9.3366669999999772 41.297055999999941, 9.335777999999948 41.297083000000043, 9.3345560000001342 41.295806000000084, 9.3345560000001342 41.294943999999987, 9.3350000000000932 41.294556000000057, 9.3374999999999773 41.294556000000057, 9.3382500000000732 41.295389000000057, 9.3407779999999434 41.295389000000057, 9.3416389999999865 41.296250000000043, 9.3424999999999727 41.295389000000057, 9.34827800000005 41.295361000000071, 9.3491670000000227 41.294582999999989, 9.3500000000000227 41.294556000000057, 9.3516670000001341 41.292916999999989, 9.3557780000001 41.292889, 9.357056 41.29413900000003, 9.3570830000001024 41.295806000000084, 9.3562500000001023 41.2966110000001, 9.3562500000001023 41.297472000000084, 9.3558059999999159 41.297916999999984, 9.3549440000000459 41.297916999999984, 9.3537499999999909 41.299139000000025, 9.35376421876731 41.29999923542033, 9.3637527597220469 41.29999923542033, 9.3636940000001232 41.299943999999982, 9.3637499999999818 41.298306000000025, 9.3624720000000821 41.297055999999941, 9.3608060000000819 41.297055999999941, 9.3599720000000275 41.297916999999984, 9.3587499999999864 41.296667000000127, 9.3587499999999864 41.295000000000016, 9.357889 41.29413900000003, 9.357889 41.292471999999918, 9.3582779999999843 41.292083000000105, 9.3591670000000136 41.292083000000105, 9.3600000000000136 41.291222000000062, 9.3607780000000957 41.291222000000062, 9.3628889999999387 41.289139000000034, 9.362028000000123 41.288306000000034, 9.3625000000001251 41.287889000000007, 9.36666700000012 41.287889000000007, 9.3670559999999341 41.288333000000137, 9.3670559999999341 41.289139000000034, 9.3678889999999342 41.29000000000002, 9.3679169999999772 41.29330600000003, 9.3682779999999752 41.293722, 9.3716110000000867 41.293749999999989, 9.3720830000000319 41.29330600000003, 9.3720830000000319 41.292500000000132, 9.3725280000001021 41.29202800000013, 9.3750279999999862 41.292083000000105, 9.3757780000000821 41.292889, 9.3766110000000822 41.292083000000105, 9.3779170000001386 41.293277999999987, 9.3778330000000665 41.29413900000003, 9.3783059999999523 41.294582999999989, 9.3791389999999524 41.294582999999989, 9.3795830000001388 41.295000000000016, 9.3796110000001249 41.2957780000001, 9.3799719999999525 41.296250000000043, 9.3833059999999477 41.296222000000057, 9.383694000000105 41.296639000000084, 9.383694000000105 41.297500000000127, 9.384555999999975 41.298361000000114, 9.382873143381687 41.29999923542033, 11.000000002300681 41.29999923542033))
